hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number | DE,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,
"""Psychotherapy with evaluation and management visit, 45 minutes""",90836,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Psychotherapy, 60 min""",90837,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Psychotherapy with evaluation and management visit, 1 hour""",90838,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Psychotherapy for crisis, first hour""",90839,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Family psychotherapy, not including patient, 50 min""",90846,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Family psychotherapy without patient,90846,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Family psychotherapy, including patient, 50 min""",90847,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Group psychotherapy,90853,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Electrocardiogram, routine, with interpretation and report""",93000,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Insertion of catheter into left heart for diagnosis,93452,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Sleep study,95810,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Physical therapy, therapeutic exercise""",97110,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""New patient office or other outpatient visit, typically 30 min""",99203,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""New patient office of other outpatient visit, typically 45 min""",99204,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""New patient office of other outpatient visit, typically 60 min""",99205,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Patient office consultation, typically 40 min""",99243,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Patient office consultation, typically 60 min""",99244,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Initial new patient preventive medicine evaluation (18-39 years),99385,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Initial new patient preventive medicine evaluation (40-64 years),99386,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Manual urinalysis test with examination using microscope,81000,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Automated urinalysis test,81002,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
PSA (prostate specific antigen),84153,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Screening antigen/antibody for HIV,G0475,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"Definitive drug testing, 1-7 classes",G0480,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Hepatitis C antibody measurement,86803,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Syphilis detection test,86592,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Measurement of antibody for rheumatoid arthritis assessment,86200,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Measurement of Hepatitis A antibody,86708,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Detection test by immunoassay with direct visual observation for influenza virus,87804,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Detection test by immunoassay with direct visual observation for Streptococcus, group A (strep)""",87880,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Detection test by nucleic acid for chlamydia trachomatis, amplified probe technique""",87491,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Detection test by nucleic acid for Neisseria gonorrhoeae (gonorrhoeae bacteria), amplified probe technique""",87591,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Detection test by nucleic acid for human papillomavirus (hpv), high-risk types""",87624,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Detection test by immunoassay with direct visual observation for respiratory syncytial virus,87807,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Detection test by immunoassay technique for HIV-1 antigen and HIV-1 and HIV-2 antibodies,87389,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood test, lipids (cholesterol and triglycerides)""",80061,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood test, comprehensive group of blood chemicals""",80053,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
General health panel,80050,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood test, basic group of blood chemicals (Calcium, total)""",80048,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Liver function blood test panel,80076,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Acute hepatitis panel,80074,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood test panel for obstetrics ( cbc, differential wbc count, hepatitis b, hiv, rubella, syphilis, antibody screening, rbc, blood typing)""",80081,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)""",800051,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Kidney function blood test panel,80069,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Urinalysis, manual test""",81002,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Urine pregnancy test,81025,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Creatinine level to test for kidney function or muscle injury,82570,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Comprehensive hearing and speech recognition test,92557,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Treatment of swallowing and feeding disorder,92826,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Evaluation of swallowing function,92579,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Established patient complete exam of visual system,92014,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Test to determine if prescription eye wear is needed,92015,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Injection of drug or substance into vein,96374,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Infusion into a vein for therapy, prevention, or diagnosis, 1 hour or less""",96365,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Simple or single drainage of skin abscess,10060,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Simple separation of fingernail or toenail from nail bed, first nail""",11730,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Simple repair of surface wound of scalp, neck, underarms, trunk, arms, or legs, 2.5 cm or less""",12001,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Administration of first vaccine or toxoid component with counseling (18 years or younger),90460,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Administration of vaccine,90471,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Administration of nasal or oral vaccine, each additional vaccine""",90474,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Influenza vaccine, quadrivalent, preservative free, 0.5 mL dosage""",90686,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Diphtheria, tetanus, and acellular pertussis vaccine (7 years or older)""",90715,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Meningococcal vaccine, serogroups A, C, W, Y, diphtheria toxoid carrier vaccine""",90734,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Measles, mumps, and rubella vaccine""",90707,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Measles, mumps, rubella, and varicella vaccine""",90710,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Varicella vaccine,90716,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Pneumococcal vaccine, 23-valent""",90732,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Influenza vaccine, quadrivalent for nasal administration""",90672,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Hepatitis B vaccine, adult dosage (3 dose schedule)""",90746,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Hepatitis A vaccine adult dosage,90632,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Rotavirus vaccine, human, attenuated""",90681,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Therapy procedure reassessment for nutrition management, each 15 minutes""",97803,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Therapy procedure for nutrition management, each 15 minutes""",97802,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Therapy procedure using manual technique, each 15 minutes""",97140,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Therapy procedure using functional activities,97530,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"Evaluation for physical therapy, typically 20 minutes""",97161,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Training for self-care or home management, each 15 minute""",97535,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Evaluation for physical therapy, typically 30 minutes""",97162,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Re-evaluation for physical therapy, typically 20 minutes""",97164,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Evaluation for physical therapy, typically 45 minutes""",97163,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Evaluation for occupational therapy, typically 30 minutes""",97165,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Evaluation for occupational therapy, typically 45 minutes""",97166,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Training in the use of orthopedic device for arm, leg and/or trunk, each 15 minutes""",97760,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
